epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3130.58,1.7115,2.9782,1.78507,0.41037,0.45379,0.3254,0.1442,1.91449,3.37114,2.03653,0.000331597,0.000331597,0.000331597
2,4639.01,1.67933,2.36277,1.75285,0.54242,0.33914,0.26219,0.12818,1.94038,3.19747,2.16547,0.000651765,0.000651765,0.000651765
3,5056.83,1.64533,2.20005,1.72188,0.58685,0.44613,0.37026,0.17096,1.83943,3.04511,1.99466,0.000958733,0.000958733,0.000958733
4,5635.71,1.60987,2.11304,1.71646,0.63249,0.42755,0.47466,0.22327,1.87464,2.28675,1.91669,0.0009406,0.0009406,0.0009406
5,6096.52,1.60487,2.01969,1.687,0.72546,0.52784,0.59696,0.28501,1.72181,1.98877,1.84735,0.0009208,0.0009208,0.0009208
6,9655.61,1.57972,1.92753,1.66182,0.45157,0.59426,0.5755,0.2834,1.68328,2.00991,1.82963,0.000901,0.000901,0.000901
7,10033.8,1.56344,1.83562,1.64422,0.73428,0.43767,0.4904,0.23755,1.84641,2.04072,1.91092,0.0008812,0.0008812,0.0008812
8,11031.8,1.50608,1.77873,1.61384,0.7851,0.46833,0.56978,0.28981,1.62547,1.91738,1.79057,0.0008614,0.0008614,0.0008614
9,11989.5,1.49333,1.7478,1.6007,0.75694,0.44566,0.5583,0.27995,1.69493,1.95124,1.85921,0.0008416,0.0008416,0.0008416
10,12709,1.48357,1.71251,1.60223,0.54647,0.64659,0.64868,0.32207,1.61197,1.78499,1.76252,0.0008218,0.0008218,0.0008218
11,13099,1.48104,1.68679,1.59327,0.71021,0.55444,0.63328,0.32017,1.60047,1.69301,1.75136,0.000802,0.000802,0.000802
12,14796.6,1.46687,1.63445,1.59114,0.47412,0.60482,0.60351,0.29996,1.61385,1.70933,1.77584,0.0007822,0.0007822,0.0007822
13,15172.8,1.45156,1.62207,1.57581,0.53422,0.63345,0.63676,0.32794,1.61482,1.6517,1.72144,0.0007624,0.0007624,0.0007624
14,15822.8,1.44242,1.59402,1.56285,0.75416,0.57781,0.66955,0.34295,1.59384,1.62517,1.75843,0.0007426,0.0007426,0.0007426
15,16302.9,1.4479,1.57665,1.5674,0.62258,0.6649,0.68554,0.3432,1.64112,1.50889,1.75376,0.0007228,0.0007228,0.0007228
16,16749.5,1.41984,1.52108,1.55632,0.7552,0.58084,0.67839,0.35474,1.5718,1.53234,1.69024,0.000703,0.000703,0.000703
17,17129.8,1.39551,1.49118,1.53518,0.64736,0.57311,0.66129,0.32296,1.64411,1.53715,1.73423,0.0006832,0.0006832,0.0006832
18,17677.7,1.40579,1.48525,1.53383,0.54973,0.6123,0.66255,0.34028,1.55772,1.60395,1.70531,0.0006634,0.0006634,0.0006634
19,18052,1.40051,1.489,1.53774,0.57339,0.68912,0.7003,0.36665,1.55173,1.47408,1.66574,0.0006436,0.0006436,0.0006436
20,18423,1.39923,1.47793,1.53829,0.55967,0.60843,0.63522,0.30088,1.6702,1.59098,1.74427,0.0006238,0.0006238,0.0006238
21,18792.5,1.39,1.45596,1.52477,0.73623,0.58033,0.68594,0.37051,1.54053,1.48885,1.69793,0.000604,0.000604,0.000604
22,19162.1,1.3569,1.43097,1.50251,0.67129,0.6225,0.70917,0.38265,1.52157,1.44122,1.66037,0.0005842,0.0005842,0.0005842
23,97250.8,1.37871,1.42353,1.50569,0.58598,0.65407,0.67816,0.36501,1.53978,1.45551,1.65385,0.0005644,0.0005644,0.0005644
24,98344.6,1.37773,1.40513,1.50494,0.65745,0.60719,0.69179,0.36965,1.54954,1.43286,1.71217,0.0005446,0.0005446,0.0005446
